spend_multiplier,spending_rule,use_dynamic_spending,initial_money,initial_annual_cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.75,3.0,1,13500.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9986,0.9986,0.9986,0.9986,0.9986,0.9984,0.9982,0.998,0.998,0.998,0.998
0.75,3.5,0,11571.42857142857,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9994,0.9992,0.9992,0.9988,0.9986,0.9984,0.9984,0.998,0.9978,0.9976,0.997,0.9962,0.9958,0.9952,0.9946,0.994,0.9938,0.9938
0.75,3.5,1,11571.42857142857,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9992,0.9988,0.9984,0.9978,0.9972,0.997,0.9964,0.996,0.9958,0.9946,0.9942,0.994,0.9928,0.9922,0.9916,0.9902,0.9894,0.9888,0.9886,0.9884
0.75,4.0,0,10125.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9992,0.9992,0.9992,0.9988,0.9984,0.9982,0.998,0.9974,0.9966,0.996,0.9948,0.9942,0.9934,0.9916,0.991,0.9892,0.9878,0.987,0.9856,0.9844,0.984
0.75,4.0,1,10125.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9982,0.997,0.9962,0.9956,0.9932,0.9922,0.9904,0.987,0.9854,0.9834,0.982,0.981,0.9786,0.9776,0.976,0.9742,0.9734,0.9716,0.9706,0.97
0.75,4.5,0,9000.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9992,0.999,0.9984,0.9982,0.9976,0.9972,0.9966,0.9958,0.9932,0.992,0.9902,0.9876,0.9862,0.9842,0.9822,0.98,0.9788,0.9776,0.976,0.9742,0.9738,0.973
0.75,4.5,1,9000.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.9978,0.9974,0.9958,0.9934,0.9904,0.9876,0.985,0.9812,0.9772,0.974,0.9696,0.9658,0.9604,0.957,0.9532,0.95,0.9464,0.9436,0.9416,0.9402,0.9372,0.9352
0.75,5.0,0,8100.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9992,0.9986,0.9982,0.9978,0.997,0.996,0.994,0.9912,0.9898,0.9868,0.9842,0.982,0.9784,0.976,0.9728,0.9694,0.9678,0.9658,0.9634,0.9586,0.957,0.955,0.953
0.75,5.0,1,8100.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9976,0.9968,0.9938,0.991,0.9864,0.9818,0.9758,0.9706,0.965,0.9582,0.9522,0.947,0.9394,0.933,0.929,0.922,0.9172,0.9117999999999999,0.9052,0.9006,0.8974,0.8948,0.8926000000000001
0.75,5.5,0,7363.636363636364,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.9992,0.9986,0.998,0.9968,0.9962,0.9944,0.9926,0.9898,0.9872,0.9822,0.9782,0.9756,0.9718,0.968,0.963,0.9601999999999999,0.9566,0.9528,0.9494,0.945,0.9412,0.9366,0.9342,0.931
