rule,strategy,year,p25,p50,p75
3.5,DRv2_DSv1,23,237.9955196592728,281.4863002748506,356.3223766289692
3.5,DRv2_DSv2,23,193.62898015106074,303.55676240000633,450.73453740590196
3.5,FixedSpend,23,337.61232341341093,353.90780385810876,367.459586047919
3.5,DRv2_DSv1,24,235.65553047658926,281.05400404654847,358.1337413746302
3.5,DRv2_DSv2,24,185.90085000286328,296.2794321828802,442.56050911511096
3.5,FixedSpend,24,326.171989815793,342.93468359163967,356.47349094877296
3.5,DRv2_DSv1,25,233.91915779388015,279.0621532603035,359.29135662434396
3.5,DRv2_DSv2,25,176.64035241939328,286.7288785481959,436.18646293947506
3.5,FixedSpend,25,314.3154376854514,331.8839541006534,345.91816124797856
3.5,DRv2_DSv1,26,231.37046340348252,278.7592274344456,360.52675014913797
3.5,DRv2_DSv2,26,170.36753462800334,277.23332961035766,419.3864476009361
3.5,FixedSpend,26,302.70131691288236,320.81242785889117,334.6194456947477
3.5,DRv2_DSv1,27,227.98551953212115,278.73475749128875,361.0969570946794
3.5,DRv2_DSv2,27,163.27995616343094,269.5116668462142,413.25952692315457
3.5,FixedSpend,27,289.987987295405,309.4576741826617,323.30211010366816
3.5,DRv2_DSv1,28,225.29245327019515,279.06868580940034,361.15291682882184
3.5,DRv2_DSv2,28,154.76742464082753,260.67830523944303,404.99588576214603
3.5,FixedSpend,28,276.94064965659607,297.0925931236525,311.3303677915833
3.5,DRv2_DSv1,29,222.44282561308574,278.1026714794569,362.51536301962733
3.5,DRv2_DSv2,29,147.92967735295292,250.99510740493884,394.9624935145092
3.5,FixedSpend,29,263.1798926426413,284.12391715205536,298.6480345739045
3.5,DRv2_DSv1,30,218.96974702034913,276.94275817587436,363.7525756475798
3.5,DRv2_DSv2,30,137.97963752534605,240.8564826218877,381.75838905773765
3.5,FixedSpend,30,248.6864168027275,270.24937956231656,285.002893541524
3.5,DRv2_DSv1,31,217.1354423820728,277.1139616616204,364.44272851906993
3.5,DRv2_DSv2,31,127.33710760471446,228.03543615300438,372.4823225442263
3.5,FixedSpend,31,233.75342096683093,255.58776160861527,271.283116365262
3.5,DRv2_DSv1,32,213.4778290025797,274.3519195185581,363.9305693899139
3.5,DRv2_DSv2,32,115.6779020158771,218.3091528572116,358.86543008798765
3.5,FixedSpend,32,219.10053495829862,241.3338503832733,258.21765926405726
3.5,DRv2_DSv1,33,210.49107840759262,274.1814915813827,362.69884488799187
3.5,DRv2_DSv2,33,104.7469891864829,208.61898194156942,356.04900697577904
3.5,FixedSpend,33,204.961418825408,228.26215667461196,245.31395202957012
3.5,DRv2_DSv1,34,207.35545887984415,273.9625496795411,361.03521048189396
3.5,DRv2_DSv2,34,98.8937236977999,200.25250587645925,343.95887276499343
3.5,FixedSpend,34,192.34159361507196,216.20252922660143,233.51894812629416
3.5,DRv2_DSv1,35,204.24837226603873,273.58308261051826,362.3182600143826
3.5,DRv2_DSv2,35,93.11221217464968,192.1825955562448,333.09916546664766
3.5,FixedSpend,35,181.68443461792506,206.80697918031944,223.69558741106886
3.5,DRv2_DSv1,36,201.35041381169364,273.75504395640894,362.94162675681866
3.5,DRv2_DSv2,36,87.62212932468015,188.28517254389615,324.7710138091399
3.5,FixedSpend,36,172.38174326713215,197.50963323036976,215.91764007131306
3.5,DRv2_DSv1,37,198.71327063547992,273.6708934318044,364.0202025005344
3.5,DRv2_DSv2,37,82.30766728130456,182.2981153512787,321.7926739079234
3.5,FixedSpend,37,164.8309165450737,189.93310787446407,208.81678881883494
3.5,DRv2_DSv1,38,195.66597077678267,272.87694614132596,362.29845343210536
3.5,DRv2_DSv2,38,78.21496528604128,178.79720847528958,315.66956369846065
3.5,FixedSpend,38,157.06332520374679,184.33587997000157,203.19076318418826
3.5,DRv2_DSv1,39,191.84255384361768,270.4547769275564,362.2286874048885
3.5,DRv2_DSv2,39,74.75408410863079,173.78807101861162,316.05909688747334
3.5,FixedSpend,39,150.83924818765715,179.4078663386246,199.0715648109691
3.5,DRv2_DSv1,40,189.06524767596386,268.8998590787309,363.36282249526937
3.5,DRv2_DSv2,40,73.43740503891553,173.27968115019792,321.6533724733122
3.5,FixedSpend,40,144.25353146558433,174.43213598579433,195.04713115810608
3.5,DRv2_DSv1,41,187.2709007684853,266.59245737502164,362.4084927506517
3.5,DRv2_DSv2,41,69.21658346726186,172.19411528510088,322.8912465207613
3.5,FixedSpend,41,139.0091789017773,170.4506531564734,191.9240641096364
3.5,DRv2_DSv1,42,182.4056175504689,264.81603099553723,362.4978844240137
3.5,DRv2_DSv2,42,66.97039243573711,169.21918258294994,326.98333111160065
3.5,FixedSpend,42,134.70563579091922,166.66088661812586,188.7155295572345
3.5,DRv2_DSv1,43,180.29114100666405,263.1506090535276,363.34631924677444
3.5,DRv2_DSv2,43,66.12808370322406,167.24210270053115,330.2018844106618
3.5,FixedSpend,43,129.55876450372688,162.77707139764652,185.51709773293308
3.5,DRv2_DSv1,44,178.16985356978608,262.83418871982224,364.1880554662083
3.5,DRv2_DSv2,44,64.56832034569783,169.46246282758787,328.25178508168284
3.5,FixedSpend,44,125.57365780942266,158.78519748125558,182.15407500735094
3.5,DRv2_DSv1,45,176.8536868897969,261.5688648716379,363.6374661707339
3.5,DRv2_DSv2,45,62.50136488917266,166.92319472591797,330.50728172550623
3.5,FixedSpend,45,120.57560188986162,154.56153284696606,178.92317266777394
3.5,DRv2_DSv1,46,173.92094263499837,258.03564276670664,361.68384880737034
3.5,DRv2_DSv2,46,58.998370187724646,164.5759480633071,332.96673608877944
3.5,FixedSpend,46,116.7619604116364,150.4687474494925,176.03807439156273
3.5,DRv2_DSv1,47,169.44038522973673,255.9500476591121,362.9488390168592
3.5,DRv2_DSv2,47,56.28770344986439,162.39578071494952,334.1000564807805
3.5,FixedSpend,47,110.03833543348048,144.65526439690737,172.00972099809692
3.5,DRv2_DSv1,48,164.5301847873504,254.24673112162813,364.0964081183031
3.5,DRv2_DSv2,48,52.055419428221946,157.99138620070457,328.59300096545803
3.5,FixedSpend,48,103.559003971766,139.9043963716469,167.57060337545957
3.5,DRv2_DSv1,49,159.81756937567985,252.77556550563992,363.6152578032915
3.5,DRv2_DSv2,49,47.03715350568899,153.86176628709774,321.85558041099944
3.5,FixedSpend,49,95.87858463746988,134.0450815643531,162.38583354276412
3.5,DRv2_DSv1,50,156.128798330928,250.317952791642,362.4720309502737
3.5,DRv2_DSv2,50,43.110659553796005,152.6662570438252,315.3255646912614
3.5,FixedSpend,50,88.27496990720421,127.89817742460313,156.85480091181046
3.5,DRv2_DSv1,51,152.98515986125773,248.3562018018804,363.94689954136555
3.5,DRv2_DSv2,51,40.67742792787658,146.60876469429778,313.33425887089777
3.5,FixedSpend,51,80.84400063026277,121.69463885683291,151.10564383451054
3.5,DRv2_DSv1,52,149.80053786544795,245.87823217055927,362.66881037133203
3.5,DRv2_DSv2,52,36.46955753807758,142.46088534867704,310.75592048160877
3.5,FixedSpend,52,71.88016516102422,115.40773565273905,145.46928385059448
3.5,DRv2_DSv1,53,145.33694355122003,242.50449346256488,360.01882490204036
3.5,DRv2_DSv2,53,30.386369580485756,137.37206701617623,306.75539616147654
3.5,FixedSpend,53,63.680682709317495,108.61852886238131,140.0377847401835
3.5,DRv2_DSv1,54,141.33988736139605,240.5601886492265,358.6350280515262
3.5,DRv2_DSv2,54,26.692981571213256,132.2274212742323,300.0030722888455
3.5,FixedSpend,54,56.53601035971883,101.8403668555288,133.06492736973308
3.5,DRv2_DSv1,55,137.43702587653556,237.25948994739673,358.1727671084858
3.5,DRv2_DSv2,55,21.627026872298046,127.46126639166962,293.1398806678911
3.5,FixedSpend,55,48.64962836055942,93.794574172889,126.80204375043162
4.0,DRv2_DSv1,1,478.20390666530346,478.3450672920926,478.49034762853415
4.0,DRv2_DSv2,1,473.62601574216666,473.76717636895586,473.9124567053974
4.0,FixedSpend,1,478.5363502231062,481.84524590912423,485.2507102333403
4.0,DRv2_DSv1,2,471.4810374489341,477.57110270044745,482.8700802331232
4.0,DRv2_DSv2,2,468.7957872029597,475.07035886440747,481.11578040881375
4.0,FixedSpend,2,487.28066511911516,491.8120738267869,496.1160942547309
4.0,DRv2_DSv1,3,464.91464892728004,476.0282666261911,487.37774493177113
4.0,DRv2_DSv2,3,463.47617925346003,476.6687626741949,490.5038058372363
4.0,FixedSpend,3,497.2289411217354,502.3011501727658,507.4665292390554
4.0,DRv2_DSv1,4,458.450901471955,480.17836520705913,491.933215249442
4.0,DRv2_DSv2,4,456.1385526477184,478.57333063003216,499.86986757032344
4.0,FixedSpend,4,507.5473488235394,513.0144843406624,518.3399542060695
4.0,DRv2_DSv1,5,452.5192426859316,474.45412127161626,496.5460779597631
4.0,DRv2_DSv2,5,449.0044630132455,478.0986746593266,509.26193587589654
4.0,FixedSpend,5,518.0300381442901,523.4347491883843,528.9837629801444
4.0,DRv2_DSv1,6,451.9878319693498,478.07766219955386,501.15231566019764
4.0,DRv2_DSv2,6,442.5158458050729,479.5328835358383,517.7235741595973
4.0,FixedSpend,6,527.9949841263287,533.8267677176954,539.7748541801533
4.0,DRv2_DSv1,7,448.78155169951464,475.6556003687004,504.27284176606884
4.0,DRv2_DSv2,7,435.6106337138332,481.41740601912124,527.7031604000204
4.0,FixedSpend,7,537.8208986004571,544.1176717503951,550.3419952028196
4.0,DRv2_DSv1,8,442.5639767035959,475.5440103540725,500.75474029585143
4.0,DRv2_DSv2,8,428.462507855941,481.2401045058677,536.4724155644908
4.0,FixedSpend,8,547.4766371067076,553.8084153281454,560.1405250911223
4.0,DRv2_DSv1,9,436.4607476899791,469.20728839797545,504.12463949835603
4.0,DRv2_DSv2,9,422.63831916137804,482.81825253883466,546.0191683357558
4.0,FixedSpend,9,556.6006647201045,562.7280738665314,569.1224654461544
