target_years,spend_ratio,strategy,survival_probability
30,0.02,110-年齢 (60歳開始),0.9976
40,0.0666666,固定最適比率,0.13460000000000005
40,0.0666666,ダイナミック最適比率,0.15100000000000002
40,0.0666666,110-年齢 (30歳開始),0.10119999999999996
40,0.0666666,110-年齢 (40歳開始),0.06820000000000004
40,0.0666666,110-年齢 (50歳開始),0.03639999999999999
40,0.0666666,110-年齢 (60歳開始),0.01539999999999997
40,0.05,固定最適比率,0.31479999999999997
40,0.05,ダイナミック最適比率,0.3718
40,0.05,110-年齢 (30歳開始),0.29200000000000004
40,0.05,110-年齢 (40歳開始),0.2542
40,0.05,110-年齢 (50歳開始),0.2046
40,0.05,110-年齢 (60歳開始),0.14580000000000004
40,0.04,固定最適比率,0.49119999999999997
40,0.04,ダイナミック最適比率,0.597
40,0.04,110-年齢 (30歳開始),0.489
40,0.04,110-年齢 (40歳開始),0.48460000000000003
40,0.04,110-年齢 (50歳開始),0.4656
40,0.04,110-年齢 (60歳開始),0.42979999999999996
40,0.035714,固定最適比率,0.6164000000000001
40,0.035714,ダイナミック最適比率,0.7126
40,0.035714,110-年齢 (30歳開始),0.5982000000000001
40,0.035714,110-年齢 (40歳開始),0.6036
40,0.035714,110-年齢 (50歳開始),0.6048
40,0.035714,110-年齢 (60歳開始),0.5978
40,0.033333,固定最適比率,0.729
40,0.033333,ダイナミック最適比率,0.7896
40,0.033333,110-年齢 (30歳開始),0.6588
40,0.033333,110-年齢 (40歳開始),0.6722
40,0.033333,110-年齢 (50歳開始),0.6824
40,0.033333,110-年齢 (60歳開始),0.6886
40,0.03,固定最適比率,1.0
40,0.03,ダイナミック最適比率,0.9014
40,0.03,110-年齢 (30歳開始),0.7384
40,0.03,110-年齢 (40歳開始),0.7634
40,0.03,110-年齢 (50歳開始),0.7874
40,0.03,110-年齢 (60歳開始),0.8146
40,0.028571,固定最適比率,1.0
40,0.028571,ダイナミック最適比率,0.9646
40,0.028571,110-年齢 (30歳開始),0.7746
40,0.028571,110-年齢 (40歳開始),0.8016
40,0.028571,110-年齢 (50歳開始),0.8296
40,0.028571,110-年齢 (60歳開始),0.858
40,0.025,固定最適比率,1.0
40,0.025,ダイナミック最適比率,1.0
40,0.025,110-年齢 (30歳開始),0.8546
40,0.025,110-年齢 (40歳開始),0.8814
40,0.025,110-年齢 (50歳開始),0.9108
40,0.025,110-年齢 (60歳開始),0.9378
40,0.022222,固定最適比率,0.9994
40,0.022222,ダイナミック最適比率,1.0
40,0.022222,110-年齢 (30歳開始),0.905
40,0.022222,110-年齢 (40歳開始),0.9308
40,0.022222,110-年齢 (50歳開始),0.9542
40,0.022222,110-年齢 (60歳開始),0.974
40,0.02,固定最適比率,0.9988
40,0.02,ダイナミック最適比率,1.0
40,0.02,110-年齢 (30歳開始),0.9374
40,0.02,110-年齢 (40歳開始),0.959
40,0.02,110-年齢 (50歳開始),0.9754
40,0.02,110-年齢 (60歳開始),0.9912
50,0.0666666,固定最適比率,0.10160000000000002
50,0.0666666,ダイナミック最適比率,0.12419999999999998
50,0.0666666,110-年齢 (30歳開始),0.04139999999999999
50,0.0666666,110-年齢 (40歳開始),0.021199999999999997
50,0.0666666,110-年齢 (50歳開始),0.005800000000000027
50,0.0666666,110-年齢 (60歳開始),0.0008000000000000229
50,0.05,固定最適比率,0.25239999999999996
50,0.05,ダイナミック最適比率,0.3188
50,0.05,110-年齢 (30歳開始),0.1694
50,0.05,110-年齢 (40歳開始),0.12580000000000002
50,0.05,110-年齢 (50歳開始),0.0746
50,0.05,110-年齢 (60歳開始),0.029000000000000026
50,0.04,固定最適比率,0.4092
50,0.04,ダイナミック最適比率,0.5276000000000001
50,0.04,110-年齢 (30歳開始),0.36539999999999995
50,0.04,110-年齢 (40歳開始),0.32399999999999995
50,0.04,110-年齢 (50歳開始),0.2642
50,0.04,110-年齢 (60歳開始),0.17400000000000004
50,0.035714,固定最適比率,0.49360000000000004
50,0.035714,ダイナミック最適比率,0.6544
50,0.035714,110-年齢 (30歳開始),0.47240000000000004
50,0.035714,110-年齢 (40歳開始),0.45020000000000004
50,0.035714,110-年齢 (50歳開始),0.41059999999999997
