"時点","地域コード","地域","消費者物価指数（総合）2020年基準","注記"
"1988年4月","00000","全国","84.9",""
"1988年5月","00000","全国","85.0",""
"1988年6月","00000","全国","84.8",""
"1988年7月","00000","全国","84.7",""
"1988年8月","00000","全国","84.9",""
"1988年9月","00000","全国","85.6",""
"1988年10月","00000","全国","86.0",""
"1988年11月","00000","全国","85.7",""
"1988年12月","00000","全国","85.4",""
"1989年1月","00000","全国","85.3",""
"1989年2月","00000","全国","85.0",""
"1989年3月","00000","全国","85.4",""
"1989年4月","00000","全国","86.9",""
"1989年5月","00000","全国","87.4",""
"1989年6月","00000","全国","87.4",""
"1989年7月","00000","全国","87.2",""
"1989年8月","00000","全国","87.1",""
"1989年9月","00000","全国","87.9",""
"1989年10月","00000","全国","88.5",""
"1989年11月","00000","全国","87.6",""
"1989年12月","00000","全国","87.7",""
"1990年1月","00000","全国","88.1",""
"1990年2月","00000","全国","88.2",""
"1990年3月","00000","全国","88.5",""
"1990年4月","00000","全国","89.3",""
"1990年5月","00000","全国","89.7",""
"1990年6月","00000","全国","89.4",""
"1990年7月","00000","全国","89.2",""
"1990年8月","00000","全国","89.5",""
"1990年9月","00000","全国","90.2",""
"1990年10月","00000","全国","91.2",""
"1990年11月","00000","全国","91.1",""
"1990年12月","00000","全国","91.0",""
"1991年1月","00000","全国","91.6",""
"1991年2月","00000","全国","91.3",""
"1991年3月","00000","全国","91.8",""
"1991年4月","00000","全国","92.3",""
"1991年5月","00000","全国","92.8",""
"1991年6月","00000","全国","92.4",""
"1991年7月","00000","全国","92.3",""
"1991年8月","00000","全国","92.5",""
"1991年9月","00000","全国","92.7",""
"1991年10月","00000","全国","93.7",""
"1991年11月","00000","全国","93.8",""
"1991年12月","00000","全国","93.4",""
"1992年1月","00000","全国","93.2",""
"1992年2月","00000","全国","93.1",""
"1992年3月","00000","全国","93.6",""
"1992年4月","00000","全国","94.6",""
"1992年5月","00000","全国","94.6",""
"1992年6月","00000","全国","94.6",""
"1992年7月","00000","全国","93.8",""
"1992年8月","00000","全国","94.1",""
"1992年9月","00000","全国","94.6",""
"1992年10月","00000","全国","94.6",""
"1992年11月","00000","全国","94.5",""
"1992年12月","00000","全国","94.5",""
"1993年1月","00000","全国","94.4",""
"1993年2月","00000","全国","94.5",""
"1993年3月","00000","全国","94.7",""
"1993年4月","00000","全国","95.4",""
"1993年5月","00000","全国","95.4",""
"1993年6月","00000","全国","95.4",""
"1993年7月","00000","全国","95.6",""
"1993年8月","00000","全国","95.9",""
"1993年9月","00000","全国","96.0",""
"1993年10月","00000","全国","95.9",""
"1993年11月","00000","全国","95.4",""
"1993年12月","00000","全国","95.4",""
"1994年1月","00000","全国","95.5",""
"1994年2月","00000","全国","95.5",""
"1994年3月","00000","全国","96.0",""
"1994年4月","00000","全国","96.2",""
"1994年5月","00000","全国","96.3",""
"1994年6月","00000","全国","95.9",""
"1994年7月","00000","全国","95.4",""
"1994年8月","00000","全国","95.9",""
"1994年9月","00000","全国","96.2",""
"1994年10月","00000","全国","96.6",""
"1994年11月","00000","全国","96.3",""
"1994年12月","00000","全国","96.1",""
"1995年1月","00000","全国","96.1",""
"1995年2月","00000","全国","95.8",""
"1995年3月","00000","全国","95.7",""
"1995年4月","00000","全国","96.0",""
"1995年5月","00000","全国","96.2",""
"1995年6月","00000","全国","96.1",""
"1995年7月","00000","全国","95.6",""
"1995年8月","00000","全国","95.7",""
"1995年9月","00000","全国","96.3",""
"1995年10月","00000","全国","96.0",""
"1995年11月","00000","全国","95.7",""
"1995年12月","00000","全国","95.7",""
"1996年1月","00000","全国","95.6",""
"1996年2月","00000","全国","95.4",""
"1996年3月","00000","全国","95.6",""
"1996年4月","00000","全国","96.2",""
"1996年5月","00000","全国","96.4",""
"1996年6月","00000","全国","96.1",""
"1996年7月","00000","全国","96.0",""
"1996年8月","00000","全国","95.9",""
"1996年9月","00000","全国","96.3",""
"1996年10月","00000","全国","96.5",""
"1996年11月","00000","全国","96.2",""
"1996年12月","00000","全国","96.3",""
"1997年1月","00000","全国","96.2",""
"1997年2月","00000","全国","96.0",""
"1997年3月","00000","全国","96.1",""
"1997年4月","00000","全国","98.0",""
"1997年5月","00000","全国","98.2",""
"1997年6月","00000","全国","98.2",""
"1997年7月","00000","全国","97.8",""
"1997年8月","00000","全国","97.9",""
"1997年9月","00000","全国","98.6",""
"1997年10月","00000","全国","98.9",""
"1997年11月","00000","全国","98.2",""
"1997年12月","00000","全国","98.0",""
"1998年1月","00000","全国","97.9",""
