initial_money,initial_annual_cost,initial_age,scenario,pension_start_age,initial_pension_nominal_annual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
5000,200,50,G,65,133.728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9944,0.994,0.9932,0.9922,0.9912,0.9902,0.989,0.9884,0.9878,0.987,0.986,0.9854,0.9842,0.983,0.9818,0.9802,0.9796,0.9784,0.9778,0.9772,0.9756,0.9744,0.9732,0.9728,0.9726,0.9722,0.9718,0.9714,0.971,0.971,0.9704,0.97,0.9698,0.9692,0.9688,0.9684,0.9676,0.9676,0.967,0.9668,0.9666,0.9662,0.966,0.966,0.965
5000,200,60,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
5000,200,60,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8706,0.8548,0.8394,0.8248,0.808,0.793,0.7814,0.7666,0.7548,0.7402,0.7288,0.7132000000000001,0.6990000000000001,0.6894,0.6804,0.6692,0.6579999999999999,0.65,0.642,0.6335999999999999,0.626,0.6228,0.6162000000000001,0.6084,0.601,0.5944,0.5893999999999999,0.5846,0.5808,0.5771999999999999,0.5720000000000001,0.5651999999999999,0.5622,0.556,0.5538000000000001
5000,200,60,C,60,141.03168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9994,0.9994,0.999,0.999,0.999,0.999,0.9986,0.9986,0.9986,0.9986,0.9986,0.9986,0.9984,0.9982,0.9982,0.9982,0.9982,0.998,0.998,0.998,0.998,0.998
5000,200,60,D,65,185.56799999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5000,200,60,E,60,137.93088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9996,0.9996,0.9994,0.9994,0.999,0.999,0.999,0.9986,0.9984,0.9984,0.9982,0.9982,0.998,0.998,0.9978,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976
5000,200,60,F,65,181.488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5000,200,60,G,65,181.488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10000,400,30,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
10000,400,30,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7183999999999999,0.7014,0.6856,0.6736,0.6588,0.6457999999999999,0.6357999999999999,0.6252,0.6148,0.6056,0.5958,0.5886,0.577,0.5688,0.5608,0.5558000000000001,0.5496,0.5438000000000001,0.5376000000000001,0.532,0.5267999999999999,0.5206,0.5156000000000001,0.5104,0.5038,0.5002,0.49560000000000004,0.49039999999999995,0.48740000000000006,0.48440000000000005
10000,400,30,C,60,78.65088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7236,0.7116,0.6990000000000001,0.6874,0.6798,0.6706,0.6639999999999999,0.6548,0.6486000000000001,0.6408,0.633,0.627,0.6178,0.6126,0.6075999999999999,0.6033999999999999,0.5998,0.596,0.593,0.5888,0.5822,0.5762,0.5728,0.569,0.567,0.5646,0.5626,0.5604,0.558,0.5556
