threshold_x,max_year_y,income_percent_z,scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.05,10,0.5,"X=5%, Y=10, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9956,0.99,0.9822,0.9704,0.9558,0.9376,0.9174,0.8958,0.8732,0.8518,0.833,0.81,0.7868,0.7634,0.7456,0.7236,0.7028,0.6868,0.6676,0.6512,0.6322,0.617,0.6016,0.5882,0.5762,0.5652,0.5564,0.5454,0.5358,0.525,0.5184,0.5088,0.502,0.4944,0.486,0.4788,0.474
0.05,10,0.75,"X=5%, Y=10, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9958,0.9916,0.9816,0.9726,0.9594,0.9414,0.9198,0.8972,0.8784,0.856,0.8316,0.8082,0.7878,0.7664,0.7482,0.7268,0.711,0.6932,0.6758,0.6562,0.639,0.625,0.6078,0.5928,0.5834,0.5744,0.5644,0.5546,0.5432,0.5346,0.527,0.5192,0.512,0.5036,0.496,0.4906
0.05,10,1.0,"X=5%, Y=10, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9986,0.9954,0.9902,0.9794,0.9718,0.9568,0.9386,0.9186,0.8978,0.8758,0.8562,0.8318,0.809,0.79,0.771,0.7476,0.7294,0.7132,0.6964,0.679,0.6588,0.6436,0.628,0.6128,0.6,0.5898,0.5772,0.5692,0.5588,0.549,0.5414,0.5322,0.526,0.5176,0.5108,0.5042
0.05,20,0.25,"X=5%, Y=20, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9978,0.9942,0.9904,0.9838,0.9754,0.9648,0.9528,0.9398,0.922,0.902,0.8812,0.8598,0.8392,0.819,0.7952,0.7752,0.7508,0.7286,0.713,0.6904,0.6724,0.6546,0.6372,0.6216,0.6054,0.5926,0.5806,0.566,0.5546,0.5432,0.5346,0.524,0.5156,0.507,0.5004,0.4904,0.4828,0.4766
0.05,20,0.5,"X=5%, Y=20, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9982,0.9966,0.9948,0.9906,0.9874,0.979,0.9686,0.9502,0.9346,0.9148,0.8964,0.8734,0.8528,0.8298,0.811,0.7886,0.7694,0.7454,0.722,0.7046,0.6872,0.6676,0.652,0.6384,0.6246,0.6116,0.5974,0.5866,0.5774,0.5668,0.5568,0.548,0.538,0.5282,0.5218
0.05,20,0.75,"X=5%, Y=20, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9996,0.9978,0.9936,0.9874,0.9784,0.968,0.9536,0.9366,0.9198,0.8956,0.8732,0.8528,0.8314,0.8108,0.7878,0.766,0.7476,0.7298,0.7092,0.692,0.6764,0.6612,0.6472,0.6332,0.6224,0.6102,0.5994,0.5892,0.5802,0.5696,0.5624
0.05,20,1.0,"X=5%, Y=20, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9982,0.9942,0.988,0.9816,0.9694,0.9604,0.9436,0.9234,0.904,0.8832,0.8632,0.8414,0.818,0.7974,0.7776,0.7602,0.7384,0.7202,0.706,0.6896,0.6768,0.6638,0.6512,0.637,0.6268,0.6152,0.604,0.5956
0.05,30,0.25,"X=5%, Y=30, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9978,0.9942,0.9904,0.9838,0.9754,0.9648,0.9528,0.9398,0.926,0.9118,0.8956,0.8814,0.8652,0.851,0.8348,0.819,0.804,0.7874,0.769,0.745,0.7232,0.706,0.6868,0.6678,0.6512,0.6338,0.6212,0.606,0.5902,0.5764,0.5658,0.555,0.5466,0.5366,0.5284,0.516,0.5076,0.5
0.05,30,0.5,"X=5%, Y=30, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9982,0.9966,0.9948,0.9906,0.9874,0.9828,0.9788,0.9732,0.9682,0.9596,0.9506,0.941,0.9342,0.926,0.916,0.8976,0.8764,0.856,0.8362,0.8148,0.795,0.7748,0.7558,0.734,0.7196,0.7028,0.6844,0.6654,0.6476,0.632,0.6186,0.6076,0.5972,0.5864,0.575
0.05,30,0.75,"X=5%, Y=30, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9996,0.999,0.9986,0.998,0.998,0.9976,0.9956,0.994,0.9934,0.9922,0.9906,0.9822,0.9688,0.9564,0.9408,0.9234,0.9072,0.8852,0.865,0.8486,0.828,0.8066,0.7884,0.7668,0.747,0.7256,0.7092,0.6954,0.6806,0.6656,0.6546
