upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.03,0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9974,0.9942,0.9902,0.9812,0.9696,0.9552,0.9386,0.9214,0.8998,0.8788,0.8528,0.8238,0.8002,0.7767999999999999,0.7525999999999999,0.727,0.7046,0.6818,0.657,0.6386000000000001,0.6175999999999999,0.6008,0.5828,0.5664,0.5464,0.5264,0.5112,0.49660000000000004,0.482,0.47019999999999995,0.4576,0.4446,0.43279999999999996,0.4192,0.41200000000000003,0.4032,0.39480000000000004,0.38439999999999996,0.376,0.36619999999999997
0.03,0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9982,0.9952,0.9918,0.9848,0.9762,0.9634,0.9476,0.9338,0.918,0.8972,0.8762,0.8516,0.8306,0.8076,0.7844,0.7632,0.7405999999999999,0.722,0.7016,0.6796,0.6572,0.6417999999999999,0.6238,0.6082000000000001,0.5938,0.5778,0.5596,0.5446,0.5282,0.5124,0.5018,0.4888,0.47819999999999996,0.4658,0.4546,0.4436,0.43320000000000003,0.4216,0.41379999999999995,0.4054
0.03,0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9986,0.9964,0.9938,0.989,0.9796,0.971,0.9578,0.9442,0.9308,0.9154,0.8978,0.8784,0.8564,0.8368,0.815,0.7946,0.7764,0.757,0.74,0.7222,0.7028,0.6818,0.6644,0.6497999999999999,0.632,0.6168,0.6058,0.5924,0.5778,0.5658000000000001,0.5514,0.5376000000000001,0.5258,0.514,0.5018,0.4918,0.4788,0.469,0.46020000000000005,0.4488
0.03,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.997,0.9944,0.991,0.9836,0.977,0.9664,0.9546,0.9418,0.9299999999999999,0.9154,0.8988,0.8832,0.8662,0.845,0.8274,0.8098,0.7908,0.775,0.7594,0.742,0.7268,0.7090000000000001,0.6938,0.6784,0.6636,0.6512,0.6357999999999999,0.6208,0.609,0.5978,0.5884,0.5740000000000001,0.5634,0.5506,0.5389999999999999,0.5282,0.5162,0.5082,0.5014000000000001
0.03,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9954,0.9926,0.988,0.9814,0.9736,0.9621999999999999,0.9538,0.9396,0.9292,0.9186,0.9032,0.888,0.8748,0.8566,0.8404,0.8231999999999999,0.8084,0.7922,0.7807999999999999,0.765,0.7485999999999999,0.7342,0.7206,0.7098,0.6958,0.6832,0.6702,0.6568,0.6444,0.6346,0.6224000000000001,0.613,0.6012,0.5922000000000001,0.5818,0.5724,0.5624,0.5528
0.03,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.998,0.9964,0.9942,0.9902,0.9846,0.979,0.9714,0.9604,0.952,0.9406,0.9318,0.9222,0.9114,0.8968,0.8842,0.8692,0.8558,0.842,0.8268,0.8134,0.8016,0.7902,0.775,0.7632,0.7502,0.7385999999999999,0.7268,0.7156,0.7048,0.6916,0.6786,0.6698,0.6616,0.6508,0.6382,0.6284000000000001,0.6198,0.6095999999999999,0.6022000000000001
0.03,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.9972,0.9948,0.9928,0.9884,0.9828,0.9774,0.969,0.9606,0.951,0.943,0.9346,0.926,0.9174,0.9056,0.8942,0.8822,0.8716,0.859,0.847,0.8354,0.8254,0.8106,0.8012,0.789,0.7787999999999999,0.7678,0.7592,0.7484,0.7382,0.726,0.7154,0.7078,0.7,0.6918,0.681,0.6728000000000001,0.6617999999999999,0.652
0.03,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9962,0.9942,0.9914,0.9874,0.9822,0.9762,0.97,0.9614,0.9526,0.9464,0.9382,0.9319999999999999,0.925,0.9134,0.904,0.8944,0.8854,0.875,0.8658,0.8562,0.8466,0.8344,0.8260000000000001,0.8166,0.8086,0.7996,0.7908,0.782,0.7732,0.7626,0.7532,0.7442,0.7365999999999999,0.7283999999999999,0.7196,0.7114,0.7044
0.04,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9966,0.9936,0.988,0.9772,0.9618,0.9446,0.9258,0.9024,0.8782,0.8496,0.8172,0.7918000000000001,0.7626,0.7336,0.7050000000000001,0.6768000000000001,0.6488,0.6248,0.6018,0.577,0.5548,0.5374,0.509,0.4888,0.4726,0.4534,0.4346,0.4194,0.403,0.3912,0.377,0.36339999999999995,0.35219999999999996,0.3428,0.33220000000000005,0.32199999999999995,0.3096,0.2992,0.2922,0.28359999999999996
0.04,0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9974,0.9942,0.99,0.981,0.9696,0.954,0.9374,0.9206,0.8966,0.8742,0.8466,0.8178,0.7928,0.7676000000000001,0.7428,0.7163999999999999,0.692,0.6642,0.644,0.6206,0.5996,0.5786,0.558,0.5388,0.5164,0.49760000000000004,0.4808,0.46419999999999995,0.4484,0.43300000000000005,0.4194,0.4062,0.39259999999999995,0.3808,0.3702,0.36140000000000005,0.35140000000000005,0.33919999999999995,0.32720000000000005,0.3196
