upper_limit,lower_limit,is_dynamic_rebalance,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.03,-0.01,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9986,0.9986,0.9976,0.9972,0.9964,0.9952,0.9942,0.992,0.9906,0.988,0.9842,0.98,0.9742,0.9686,0.9614,0.9542,0.9426,0.9348,0.9266,0.9186,0.9092,0.9002,0.891,0.8798,0.87,0.8616,0.8488,0.8351999999999999,0.825,0.8160000000000001,0.8074,0.7958000000000001,0.7847999999999999,0.7712
0.03,-0.005,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9992,0.9988,0.9986,0.9974,0.9972,0.9962,0.9948,0.9932,0.9898,0.987,0.983,0.9786,0.973,0.9676,0.9614,0.951,0.9416,0.9292,0.9178,0.905,0.8944,0.8828,0.8702,0.8572,0.8436,0.8311999999999999,0.8164,0.8029999999999999,0.788,0.7747999999999999,0.7604,0.7465999999999999,0.7342,0.7202,0.7063999999999999,0.696
0.03,-0.0,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9986,0.9974,0.9968,0.9962,0.994,0.9918,0.9878,0.984,0.9786,0.9742,0.9692,0.9634,0.954,0.9422,0.9314,0.9162,0.8986,0.8854,0.8716,0.8564,0.8404,0.8224,0.8054,0.788,0.771,0.7554,0.7376,0.7183999999999999,0.7046,0.6910000000000001,0.6719999999999999,0.6566000000000001,0.6412,0.6268,0.6118
0.04,-0.03,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9988,0.9988,0.9982,0.9978,0.9978,0.9974,0.9966,0.9958,0.9946,0.9934,0.9922,0.9906,0.9876,0.986,0.983,0.982,0.98,0.9786,0.9766,0.9748,0.971,0.968,0.9644,0.962,0.9594,0.9564,0.954,0.951
0.04,-0.025,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9986,0.998,0.9976,0.9972,0.9964,0.9956,0.9944,0.9928,0.9916,0.9904,0.988,0.985,0.9828,0.9798,0.9764,0.9732,0.9706,0.9678,0.9636,0.9594,0.9554,0.951,0.9478,0.9444,0.9404,0.9372,0.9338,0.9304,0.9246
0.04,-0.02,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9992,0.999,0.9988,0.9978,0.9978,0.9966,0.996,0.9952,0.9942,0.993,0.9916,0.9894,0.9858,0.983,0.9804,0.9786,0.9734,0.9684,0.9634,0.9582,0.9542,0.9492,0.945,0.9398,0.9326,0.9276,0.922,0.9156,0.9112,0.9062,0.8986,0.8928,0.8858
0.04,-0.015,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.999,0.9988,0.9986,0.9978,0.9976,0.996,0.996,0.9948,0.9938,0.9916,0.9898,0.9868,0.9834,0.9802,0.975,0.9694,0.965,0.9582,0.9512,0.9414,0.9334,0.9272,0.9202,0.915,0.9056,0.897,0.891,0.8834,0.8752,0.866,0.8584,0.848,0.8418,0.8324
0.04,-0.01,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9986,0.9986,0.9976,0.9972,0.9964,0.9952,0.9942,0.9918,0.9904,0.988,0.984,0.9792,0.9744,0.9678,0.9601999999999999,0.9526,0.9416,0.9338,0.9254,0.9176,0.9077999999999999,0.8986,0.8882,0.8776,0.8672,0.8578,0.8454,0.8324,0.8218,0.812,0.7984,0.7864,0.7736000000000001,0.762
0.04,-0.005,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9992,0.9988,0.9986,0.9974,0.9972,0.9962,0.9948,0.9932,0.9898,0.987,0.9828,0.9782,0.9724,0.9672,0.9604,0.95,0.9404,0.9288,0.9164,0.9034,0.8922,0.8806,0.868,0.8546,0.8412,0.8274,0.8108,0.7972,0.7804,0.7676000000000001,0.7532,0.7388,0.7243999999999999,0.7103999999999999,0.6968,0.685
0.04,-0.0,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9986,0.9974,0.9968,0.9962,0.994,0.9918,0.988,0.984,0.9786,0.9738,0.9686,0.9628,0.9534,0.9418,0.9298,0.9146,0.8976,0.8828,0.8694,0.853,0.8351999999999999,0.8188,0.8004,0.7838,0.766,0.7488,0.7308,0.7108,0.6928000000000001,0.6766,0.6584,0.6416,0.6266,0.6113999999999999,0.5958
0.05,-0.03,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9988,0.9988,0.9982,0.9976,0.9976,0.9974,0.9966,0.9958,0.9946,0.9934,0.9922,0.9904,0.9878,0.9858,0.983,0.982,0.9796,0.9784,0.9762,0.9744,0.9704,0.9674,0.9642,0.9618,0.959,0.9554,0.9536,0.95
0.05,-0.025,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9986,0.998,0.9976,0.9972,0.9964,0.9956,0.9944,0.993,0.9914,0.99,0.988,0.985,0.9826,0.9798,0.9764,0.9726,0.97,0.9674,0.9634,0.959,0.9546,0.9502,0.9472,0.9426,0.9394,0.937,0.9324,0.9292,0.9232
0.05,-0.02,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9992,0.999,0.9988,0.9978,0.9978,0.9966,0.996,0.9952,0.9942,0.993,0.9916,0.9894,0.9858,0.9824,0.9802,0.9784,0.9726,0.9678,0.9624,0.9576,0.9538,0.9484,0.9436,0.9390000000000001,0.9318,0.927,0.9214,0.914,0.9084,0.904,0.8966,0.89,0.8822
0.05,-0.015,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.999,0.9988,0.9986,0.9978,0.9976,0.996,0.9958,0.9948,0.9934,0.9916,0.9898,0.9868,0.9834,0.98,0.9744,0.9694,0.9646,0.9574,0.95,0.9402,0.9324,0.9266,0.9202,0.9138,0.905,0.8966,0.8896,0.8815999999999999,0.873,0.864,0.857,0.8442000000000001,0.839,0.8286
0.05,-0.01,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9986,0.9986,0.9976,0.9972,0.9964,0.9952,0.9942,0.9916,0.9904,0.988,0.9838,0.9792,0.9742,0.967,0.9592,0.9512,0.9406,0.933,0.9246,0.9162,0.9057999999999999,0.8972,0.8874,0.8764,0.8654,0.855,0.8418,0.8288,0.8164,0.8049999999999999,0.7928,0.7802,0.7694,0.7572
0.05,-0.005,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9992,0.9988,0.9986,0.9974,0.9972,0.9962,0.9948,0.9934,0.9894,0.9868,0.9826,0.9782,0.972,0.9666,0.9598,0.9494,0.9398,0.927,0.9144,0.9014,0.891,0.8792,0.8656,0.8518,0.839,0.8240000000000001,0.8072,0.7932,0.7762,0.761,0.7456,0.7318,0.7168,0.7008,0.6878,0.6748000000000001
0.05,-0.0,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9986,0.9974,0.9968,0.9962,0.994,0.9918,0.9878,0.9836,0.9788,0.9734,0.9686,0.9621999999999999,0.9524,0.9408,0.9288,0.913,0.8954,0.8804,0.8686,0.8513999999999999,0.8334,0.8138,0.7962,0.7794,0.7598,0.7418,0.7242,0.7021999999999999,0.6859999999999999,0.6704,0.65,0.6335999999999999,0.6158,0.6018,0.5858
