upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.02,-0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9966,0.9918,0.9858,0.9752,0.9592,0.9416,0.9198,0.8976,0.8728,0.8484,0.8206,0.7914,0.7656000000000001,0.7392000000000001,0.7134,0.6918,0.6646000000000001,0.6454,0.6238,0.6016,0.5800000000000001,0.5609999999999999,0.544,0.5256000000000001,0.5074000000000001,0.492,0.47740000000000005,0.4618,0.4506,0.43820000000000003,0.42600000000000005,0.41379999999999995,0.40380000000000005,0.3922,0.38280000000000003,0.374,0.3658,0.35740000000000005,0.34940000000000004,0.33899999999999997
0.03,-0.03,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.995,0.9922,0.988,0.9812,0.9744,0.9648,0.956,0.9452,0.9334,0.9194,0.904,0.8896,0.8718,0.8584,0.8444,0.8311999999999999,0.815,0.7986,0.784,0.7682,0.7545999999999999,0.7398,0.724,0.7098,0.698,0.6868000000000001,0.6764,0.6632,0.6512,0.6374,0.6254,0.6142000000000001,0.602,0.5912,0.5804,0.5671999999999999,0.5554,0.5456
0.03,-0.025,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9974,0.994,0.9904,0.9848,0.9782,0.9668,0.9586,0.9476,0.9328,0.9186,0.8996,0.884,0.8666,0.8506,0.8351999999999999,0.8168,0.7989999999999999,0.7834,0.766,0.7484,0.7343999999999999,0.7202,0.7054,0.6890000000000001,0.6764,0.6632,0.6482,0.6324000000000001,0.6166,0.6016,0.5888,0.5794,0.5686,0.5544,0.5404,0.5282,0.5172,0.5072,0.496
0.03,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9962,0.9928,0.9882,0.982,0.9732,0.9618,0.9506,0.9324,0.9186,0.9004,0.8824,0.8618,0.845,0.8256,0.806,0.7902,0.7704,0.7492,0.7328,0.7170000000000001,0.6996,0.6808000000000001,0.6632,0.6497999999999999,0.634,0.6184000000000001,0.6024,0.5840000000000001,0.5726,0.5616,0.55,0.5338,0.5204,0.5045999999999999,0.494,0.48219999999999996,0.47119999999999995,0.46140000000000003,0.4506
0.03,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9984,0.9956,0.9922,0.9862,0.978,0.966,0.9534,0.9358,0.9202,0.9024,0.8798,0.8618,0.8408,0.819,0.798,0.7796,0.7564,0.7368,0.7154,0.6970000000000001,0.6799999999999999,0.6596,0.641,0.625,0.608,0.591,0.5742,0.5588,0.5442,0.5322,0.5178,0.5042,0.49119999999999997,0.4758,0.45999999999999996,0.45199999999999996,0.4414,0.4316,0.4204,0.41059999999999997
0.03,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.9944,0.9906,0.9832,0.9732,0.9574,0.9432,0.9248,0.9057999999999999,0.8822,0.8626,0.8386,0.8146,0.7924,0.769,0.7468,0.722,0.7004,0.679,0.6608,0.6416,0.6218,0.6024,0.5856,0.5674,0.5514,0.5338,0.5166,0.5028,0.48819999999999997,0.4736,0.45899999999999996,0.4466,0.43179999999999996,0.42000000000000004,0.41000000000000003,0.4002,0.3892,0.37839999999999996,0.37060000000000004
0.03,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9978,0.9926,0.9878,0.98,0.9674,0.9506,0.9306,0.911,0.8876,0.8654,0.8388,0.8132,0.7867999999999999,0.7624,0.736,0.7108,0.6861999999999999,0.6639999999999999,0.645,0.6234,0.6046,0.5816,0.5622,0.5426,0.521,0.5056,0.48919999999999997,0.4736,0.45899999999999996,0.4454,0.43179999999999996,0.41700000000000004,0.40380000000000005,0.39280000000000004,0.38139999999999996,0.3722,0.36160000000000003,0.3506,0.34019999999999995,0.3316
0.03,-0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9966,0.9918,0.9854,0.975,0.9578,0.9402,0.9182,0.8954,0.8684000000000001,0.8442000000000001,0.8148,0.7846,0.7584,0.7302,0.7012,0.6764,0.6504,0.6315999999999999,0.608,0.583,0.56,0.5384,0.5212,0.5018,0.48219999999999996,0.46519999999999995,0.44799999999999995,0.43300000000000005,0.41879999999999995,0.4042,0.39239999999999997,0.381,0.367,0.35540000000000005,0.3456,0.33420000000000005,0.3246,0.3146,0.30679999999999996,0.2992
0.04,-0.03,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.998,0.995,0.9918,0.988,0.981,0.9742,0.9642,0.955,0.9442,0.9308,0.9164,0.9,0.8844,0.8676,0.8518,0.8374,0.8240000000000001,0.8058,0.791,0.774,0.7584,0.741,0.7248,0.7090000000000001,0.6952,0.6838,0.671,0.6566000000000001,0.6436,0.628,0.6148,0.6002000000000001,0.5888,0.5751999999999999,0.5616,0.5464,0.5332,0.5207999999999999,0.5112
0.04,-0.025,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9974,0.994,0.9904,0.9846,0.9778,0.9666,0.9578,0.9472,0.9316,0.9136,0.896,0.8792,0.8638,0.8444,0.8271999999999999,0.8116,0.792,0.7736000000000001,0.7542,0.7385999999999999,0.72,0.7081999999999999,0.6901999999999999,0.6738,0.6596,0.6442,0.6282,0.6106,0.5944,0.5808,0.5646,0.5512,0.5378000000000001,0.523,0.5084,0.4962,0.48340000000000005,0.47340000000000004,0.4608
